Instance ID,Absolute Runtime ms,Memory KB,Test Files,Execution Pass,Token-Exact,Input Bytes Min,Input Bytes Median,Input Bytes Max,Neutral E3 Evidence Text
ADSO_TEST_084,23.46,64496,2,2/2,2/2,158,158,158,"Observed per-program execution evidence: absolute ACEOB runtime=23.46 ms; memory=64496 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=158..158 bytes (median 158.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_085,21.66,17588,4,4/4,4/4,20,48,52,"Observed per-program execution evidence: absolute ACEOB runtime=21.66 ms; memory=17588 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=20..52 bytes (median 48.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_086,63.17,26292,5,5/5,5/5,93,159,228,"Observed per-program execution evidence: absolute ACEOB runtime=63.17 ms; memory=26292 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=93..228 bytes (median 159). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_087,21.11,1316,2,2/2,2/2,62,62,62,"Observed per-program execution evidence: absolute ACEOB runtime=21.11 ms; memory=1316 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=62..62 bytes (median 62.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_088,63.81,9448,3,3/3,1/3,19,22,22,"Observed per-program execution evidence: absolute ACEOB runtime=63.81 ms; memory=9448 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=19..22 bytes (median 22). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_089,25.22,17296,14,14/14,4/14,20,26,56,"Observed per-program execution evidence: absolute ACEOB runtime=25.22 ms; memory=17296 KB. Independent audit: 14/14 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=20..56 bytes (median 26.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_090,20.62,0,5,5/5,5/5,24,34,44,"Observed per-program execution evidence: absolute ACEOB runtime=20.62 ms; memory=0 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=24..44 bytes (median 34). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_091,26,7120,2,2/2,2/2,62,62,62,"Observed per-program execution evidence: absolute ACEOB runtime=26.00 ms; memory=7120 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=62..62 bytes (median 62.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_092,43.6,2508,3,3/3,3/3,6,13,13,"Observed per-program execution evidence: absolute ACEOB runtime=43.60 ms; memory=2508 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=6..13 bytes (median 13). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_093,325.84,18608,17,17/17,17/17,8,16,467,"Observed per-program execution evidence: absolute ACEOB runtime=325.84 ms; memory=18608 KB. Independent audit: 17/17 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..467 bytes (median 16). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_094,30.67,7204,4,4/4,4/4,16,29,29,"Observed per-program execution evidence: absolute ACEOB runtime=30.67 ms; memory=7204 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=16..29 bytes (median 29.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_095,20.29,0,2,2/2,2/2,72,72,72,"Observed per-program execution evidence: absolute ACEOB runtime=20.29 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=72..72 bytes (median 72.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_096,20.45,0,2,2/2,0/2,12,12,12,"Observed per-program execution evidence: absolute ACEOB runtime=20.45 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=12..12 bytes (median 12.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_097,48.01,1160,4,4/4,0/4,8,12,113,"Observed per-program execution evidence: absolute ACEOB runtime=48.01 ms; memory=1160 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=8..113 bytes (median 12.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_098,21.22,15328,5,5/5,5/5,93,159,228,"Observed per-program execution evidence: absolute ACEOB runtime=21.22 ms; memory=15328 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=93..228 bytes (median 159). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_099,390.8,0,2,2/2,2/2,11,11,11,"Observed per-program execution evidence: absolute ACEOB runtime=390.80 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=11..11 bytes (median 11.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_100,86.51,53528,2,2/2,2/2,64,64,64,"Observed per-program execution evidence: absolute ACEOB runtime=86.51 ms; memory=53528 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=64..64 bytes (median 64.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_101,20.71,8660,3,3/3,1/3,19,22,22,"Observed per-program execution evidence: absolute ACEOB runtime=20.71 ms; memory=8660 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=19..22 bytes (median 22). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_102,23.25,12068,18,18/18,18/18,16,17,86,"Observed per-program execution evidence: absolute ACEOB runtime=23.25 ms; memory=12068 KB. Independent audit: 18/18 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=16..86 bytes (median 17.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_103,26.22,1684,2,2/2,2/2,29,29,29,"Observed per-program execution evidence: absolute ACEOB runtime=26.22 ms; memory=1684 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=29..29 bytes (median 29.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_104,26.87,7776,2,2/2,1/2,74,74,74,"Observed per-program execution evidence: absolute ACEOB runtime=26.87 ms; memory=7776 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=74..74 bytes (median 74.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_105,29.4,0,17,17/17,17/17,4,5,18,"Observed per-program execution evidence: absolute ACEOB runtime=29.40 ms; memory=0 KB. Independent audit: 17/17 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=4..18 bytes (median 5). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_106,42.05,2300,5,5/5,5/5,11,20,28,"Observed per-program execution evidence: absolute ACEOB runtime=42.05 ms; memory=2300 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=11..28 bytes (median 20). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_107,21.78,0,2,2/2,1/2,39,39,39,"Observed per-program execution evidence: absolute ACEOB runtime=21.78 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=39..39 bytes (median 39.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_108,24.86,3976,2,2/2,2/2,63,63,63,"Observed per-program execution evidence: absolute ACEOB runtime=24.86 ms; memory=3976 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=63..63 bytes (median 63.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_109,20.69,484,2,2/2,2/2,67,67,67,"Observed per-program execution evidence: absolute ACEOB runtime=20.69 ms; memory=484 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=67..67 bytes (median 67.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_110,20.62,0,17,17/17,17/17,4,7,18,"Observed per-program execution evidence: absolute ACEOB runtime=20.62 ms; memory=0 KB. Independent audit: 17/17 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=4..18 bytes (median 7). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_111,20.55,11580,2,2/2,2/2,46,46,46,"Observed per-program execution evidence: absolute ACEOB runtime=20.55 ms; memory=11580 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=46..46 bytes (median 46.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_112,20.67,17856,10,10/10,10/10,78,117,439,"Observed per-program execution evidence: absolute ACEOB runtime=20.67 ms; memory=17856 KB. Independent audit: 10/10 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=78..439 bytes (median 117.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_113,20.89,7820,3,3/3,3/3,89,89,98,"Observed per-program execution evidence: absolute ACEOB runtime=20.89 ms; memory=7820 KB. Independent audit: 3/3 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=89..98 bytes (median 89). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_114,20.17,0,2,2/2,2/2,41,41,41,"Observed per-program execution evidence: absolute ACEOB runtime=20.17 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=41..41 bytes (median 41.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_115,49.59,8888,4,4/4,4/4,11,25,26,"Observed per-program execution evidence: absolute ACEOB runtime=49.59 ms; memory=8888 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=11..26 bytes (median 25.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_116,22,20828,2,2/2,2/2,46,46,46,"Observed per-program execution evidence: absolute ACEOB runtime=22.00 ms; memory=20828 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=46..46 bytes (median 46.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_117,68.22,22032,2,2/2,2/2,87,87,87,"Observed per-program execution evidence: absolute ACEOB runtime=68.22 ms; memory=22032 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=87..87 bytes (median 87.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_118,22.46,0,2,2/2,2/2,40,40,40,"Observed per-program execution evidence: absolute ACEOB runtime=22.46 ms; memory=0 KB. Independent audit: 2/2 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=40..40 bytes (median 40.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_119,23.85,692,5,5/5,5/5,11,19,86,"Observed per-program execution evidence: absolute ACEOB runtime=23.85 ms; memory=692 KB. Independent audit: 5/5 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=11..86 bytes (median 19). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
ADSO_TEST_120,20.57,7196,4,4/4,4/4,16,29,29,"Observed per-program execution evidence: absolute ACEOB runtime=20.57 ms; memory=7196 KB. Independent audit: 4/4 available public+hidden test executions completed successfully, 0 timeouts, 0 runtime errors. Input-size range=16..29 bytes (median 29.0). No counterpart timing, relative speedup, ACEOB role, or final label is supplied."
